Team,Conference,SOS,Prev SOS,Adj. RPI,Adj. RPI Value,RPI,RPI Value,WL,Adj. Non-Conf RPI,Non-Conf Record,Conf RPI,Conf. Record,Road WL,Last 10 Games,RPI 1-25,RPI 26-50,RPI 51-100,RPI 101+,vs TOP 100,vs below 150,NC SOS,NC SOS Value,advanced
Utah Valley,WAC,235,230,187,0.46742,188,0.46882,24-27,190,10-13,20,14-14,6-16,4-6,0-1,0-3,1-5,23-18,1-9,17-11,210,0.47113,0
NIU,MAC,236,231,223,0.44301,231,0.44161,17-28,203,7-10,22,10-18,9-11,4-6,0-1,0-0,1-2,16-25,1-3,13-19,228,0.46152,0
Harvard,Ivy League,237,239,181,0.47115,178,0.47395,22-20,223,6-12,27,16-8,11-11,6-4,0-0,0-0,1-7,21-13,1-7,19-8,203,0.47342,0
Western Caro.,SoCon,238,235,247,0.42519,242,0.43429,19-34,206,14-18,23,5-16,9-12,1-9,0-1,0-0,1-11,18-22,1-12,17-21,200,0.4755,0
Chattanooga,SoCon,239,248,172,0.47641,168,0.48131,29-25,188,16-16,23,13-9,6-10,8-2,0-0,0-2,5-9,24-14,5-11,22-10,248,0.44563,1
USC Upstate,Big South,240,238,73,0.5524,63,0.5524,48-10,65,26-2,17,22-8,13-4,7-3,0-1,0-0,4-5,44-4,4-6,39-3,281,0.40765,0
Iona,MAAC,241,237,210,0.45541,209,0.45821,23-26,214,11-14,28,12-12,11-14,4-6,0-0,0-0,0-4,23-22,0-4,22-15,252,0.44165,0
Colgate,Patriot,242,236,229,0.4383,225,0.446,20-28,247,11-19,26,9-9,8-16,3-7,0-0,0-0,1-13,19-15,1-13,18-11,204,0.47228,0
Purdue Fort Wayne,Horizon,243,241,296,0.36382,295,0.37292,7-42,296,1-22,29,6-20,3-21,0-10,0-0,0-0,0-4,7-38,0-4,7-31,194,0.47767,0
Florida A&M,SWAC,244,240,248,0.4251,252,0.4293,18-31,232,5-18,31,13-13,5-14,4-6,0-5,0-4,0-4,18-18,0-13,18-18,93,0.53326,0
Presbyterian,Big South,245,244,115,0.51311,110,0.51661,36-15,157,15-5,17,21-10,8-6,6-4,0-0,0-0,3-7,33-8,3-7,33-8,293,0.38301,0
Binghamton,America East,246,243,208,0.4565,206,0.4614,22-23,226,13-13,24,9-10,8-9,6-4,0-0,0-0,1-2,21-21,1-2,19-11,284,0.40147,0
Bethune-Cookman,SWAC,247,247,205,0.45703,208,0.45843,24-26,244,7-19,31,17-7,8-6,7-3,0-2,0-2,0-5,24-17,0-9,21-13,168,0.49126,0
